MSSubClass,OverallQual,OverallCond,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,SalePrice
60,7,5,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,2,548,0,61,0,0,0,0,0,2,208500
20,6,8,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,2,460,298,0,0,0,0,0,0,5,181500
60,7,5,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,2,608,0,42,0,0,0,0,0,9,223500
70,7,5,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,3,642,0,35,272,0,0,0,0,2,140000
60,8,5,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,3,836,192,84,0,0,0,0,0,12,250000
50,5,5,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,2,480,40,30,0,320,0,0,700,10,143000
20,8,5,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2,636,255,57,0,0,0,0,0,8,307000
60,7,6,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,2,484,235,204,228,0,0,0,350,11,200000
50,7,5,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,468,90,0,205,0,0,0,0,4,129900
190,5,6,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1,205,0,4,0,0,0,0,0,1,118000
20,5,5,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,1,384,0,0,0,0,0,0,0,2,129500
60,9,5,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,3,736,147,21,0,0,0,0,0,7,345000
20,5,6,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,1,352,140,0,0,0,176,0,0,9,144000
20,7,5,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,3,840,160,33,0,0,0,0,0,8,279500
20,6,5,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,1,352,0,213,176,0,0,0,0,5,157000
45,7,8,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,2,576,48,112,0,0,0,0,0,7,132000
20,6,7,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,2,480,0,0,0,0,0,0,700,3,149000
90,4,5,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,2,516,0,0,0,0,0,0,500,10,90000
20,5,5,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,0,0,6,159000
20,5,6,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,1,294,0,0,0,0,0,0,0,5,139000
60,8,5,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,3,853,240,154,0,0,0,0,0,11,325300
45,7,7,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,1,280,0,0,205,0,0,0,0,6,139400
20,8,5,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,2,534,171,159,0,0,0,0,0,9,230000
120,5,7,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,2,572,100,110,0,0,0,0,0,6,129900
20,5,8,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,0,0,5,154000
20,8,5,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,3,890,0,56,0,0,0,0,0,7,256300
20,5,7,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,0,0,5,134800
20,8,5,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,3,772,0,50,0,0,0,0,0,5,306000
20,5,6,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,1,319,288,258,0,0,0,0,0,12,207500
30,4,6,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,1,240,49,0,87,0,0,0,0,5,68500
70,4,4,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,1,250,0,54,172,0,0,0,0,7,40000
20,5,6,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,1,271,0,65,0,0,0,0,0,6,149350
20,8,5,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,2,484,0,30,0,0,0,0,0,1,179900
20,5,5,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,2,447,0,38,0,0,0,0,0,4,165500
120,9,5,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,2,556,203,47,0,0,0,0,0,8,277500
60,8,5,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,3,691,113,32,0,0,0,0,0,9,309000
20,5,5,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,2,672,392,64,0,0,0,0,0,6,145000
20,5,6,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,0,0,10,153000
20,5,7,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1,246,0,52,0,0,0,0,0,1,109000
90,4,5,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,0,0,0,0,0,0,0,0,0,6,82000
20,6,5,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,2,440,0,138,0,0,0,0,0,12,160000
20,5,6,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,1,308,0,104,0,0,0,0,0,7,170000
85,5,7,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,0,0,12,144000
20,5,6,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,1,308,145,0,0,0,0,0,0,7,130250
20,5,6,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,1,300,0,0,0,0,0,0,0,5,141000
120,9,5,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2,576,196,82,0,0,0,0,0,2,319900
50,7,5,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,2,670,168,43,0,0,198,0,0,8,239686
20,8,5,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,3,826,0,146,0,0,0,0,0,7,249700
190,4,5,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,0,0,0,0,102,0,0,0,0,6,113000
20,5,7,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,1,386,0,0,0,0,0,0,0,1,127000
60,6,6,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,2,388,0,75,0,0,0,0,0,7,177000
50,6,6,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,2,528,112,0,0,0,0,0,400,9,114500
90,5,5,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,0,0,5,110000
20,9,5,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,3,894,857,72,0,0,0,0,0,11,385000
80,5,5,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,2,572,0,50,0,0,0,0,0,2,130000
20,6,5,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,2,576,0,0,0,407,0,0,0,7,180500
160,8,5,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,2,480,115,0,0,0,0,0,0,8,172500
60,7,5,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,2,565,0,70,0,0,0,0,0,8,196500
60,10,5,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,3,641,192,0,37,0,0,0,0,10,438780
20,5,7,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,1,352,196,0,0,0,0,0,0,1,124900
20,6,5,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,2,576,0,50,0,0,0,0,0,5,158000
75,5,7,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,1,288,0,0,144,0,0,0,0,3,101000
120,8,5,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2,484,120,49,0,0,0,0,0,10,202500
70,7,6,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,2,480,12,11,64,0,0,0,0,4,140000
60,7,5,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,2,645,576,36,0,0,0,0,0,2,219500
60,8,5,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,3,852,192,151,0,0,0,0,0,10,317000
20,7,5,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,2,576,301,0,0,0,0,0,0,7,180000
